EMPLOYEECODE,applied_day_of_week,applied_month,LVREASON,ADNLINFO,HALFDAY,LEAVECODE,leave_days,ELBALANCE,HPLBALANCE,total_past_leaves,approval_status
AC06435,4.0,10.0,VISIT TO AHMEDABAD FOR NAVRATI,NONE,NO,EL,4,299.0,564.0,25,1
AC06437,3.0,6.0,PERSONAL,NONE,NO,EL,2,303.0,480.0,30,1
AC06437,5.0,8.0,MEDCIAL,NONE,NO,CMC,5,283.0,450.0,30,1
AC06437,5.0,7.0,PERSONAL,NONE,NO,EL,4,299.0,480.0,30,1
AC06437,5.0,1.0,PERSONAL,NONE,NO,EL,3,305.0,480.0,30,1
AC06437,3.0,10.0,PERSONAL,NONE,NO,EL,1,313.0,490.0,30,1
AC06437,3.0,10.0,PERSONAL,NONE,NO,EL,2,311.0,490.0,30,1
AC06437,2.0,2.0,MEDICAL,NONE,NO,CMC,18,315.0,464.0,30,1
AC06437,3.0,5.0,PERSONAL,NONE,NO,EL,11,304.0,464.0,30,1
AC06439,5.0,12.0,PERSONAL WORK,NONE,NO,EL,1,292.0,304.0,26,1
AC06439,2.0,7.0,PERSONAL WORK,NONE,NO,EL,5,291.0,314.0,26,1
AC06439,4.0,5.0,PERSONAL WORK,NONE,NO,EL,2,302.0,314.0,26,1
AC06439,4.0,5.0,PERSONAL WORK,NONE,NO,EL,2,300.0,314.0,26,1
AC06439,2.0,6.0,PERSONAL WORK,NONE,NO,EL,4,296.0,314.0,26,1
AC06439,5.0,11.0,LTC,NONE,NO,EL,1,296.0,318.0,26,1
AC06439,4.0,1.0,NOT WELL,NONE,NO,CMC,1,286.0,316.0,26,1
AC06439,4.0,1.0,NOT WELL,NONE,NO,CMC,1,301.0,324.0,26,1
AC06439,6.0,3.0,PERS. WORK,NONE,NO,EL,5,296.0,314.0,26,1
AC06439,2.0,3.0,NOT WELL,NONE,NO,CMC,5,301.0,314.0,26,1
AC06439,2.0,6.0,PERSONAL WORK,NONE,NO,EL,4,292.0,314.0,26,1
AC06439,2.0,6.0,PERSONAL WORK,NONE,NO,EL,4,303.0,324.0,26,1
AC06439,2.0,7.0,PERSONAL WORK,NONE,NO,EL,2,301.0,324.0,26,1
AC06439,2.0,7.0,PERSONAL WORK,NONE,NO,EL,2,299.0,324.0,26,1
AC06439,2.0,7.0,NOT WELL,NONE,NO,CMC,3,299.0,318.0,26,1
AC06439,2.0,4.0,PERSONAL,NONE,NO,EL,5,294.0,294.0,26,1
AC06439,2.0,8.0,PERSONAL WORK,NONE,NO,EL,5,304.0,304.0,26,1
AC06439,6.0,9.0,PERSONAL WORK,NONE,NO,EL,4,300.0,304.0,26,1
AC06439,3.0,10.0,PERSONAL WORK,NONE,NO,EL,1,299.0,304.0,26,1
AC06439,2.0,11.0,PERSONAL WORK,NONE,NO,EL,2,297.0,304.0,26,1
AC06439,3.0,11.0,PERSONAL WORK,NONE,NO,EL,1,296.0,304.0,26,1
AC06439,2.0,3.0,PERSONAL REASON,NONE,NO,EL,3,304.0,314.0,26,1
AC06439,7.0,11.0,PERSONAL WORK,NONE,NO,EL,2,297.0,318.0,26,1
AC06439,6.0,12.0,PERSONAL WORK,NONE,NO,EL,2,293.0,304.0,26,1
AC06439,5.0,11.0,PERSONAL WORK,NONE,NO,EL,1,295.0,304.0,26,1
AC06496,7.0,1.0,PERSONAL,NONE,NO,EL,4,309.0,316.0,81,1
AC06496,7.0,1.0,PERSONAL,NONE,NO,EL,2,313.0,316.0,81,1
AC06496,7.0,1.0,NIECES MARRIAGE,NONE,NO,EL,6,309.0,306.0,81,1
AC06496,3.0,9.0,UNWELL,NONE,NO,CMC,4,308.0,327.0,81,1
AC06496,3.0,9.0,DAUGHTERS WEDDING,NONE,NO,EL,8,300.0,327.0,81,1
AC06496,6.0,12.0,GOING TO HAMPI,NONE,NO,EL,2,208.0,186.0,81,1
AC06496,3.0,1.0,PERSONAL VIST TO CHENNAI,NONE,NO,EL,1,250.0,226.0,81,1
AC06496,3.0,1.0,VISIT TO CHENNAI,NONE,NO,EL,1,251.0,226.0,81,1
AC06496,4.0,3.0,VISIT TO CHENNAI,NONE,NO,EL,2,300.0,296.0,81,1
AC06496,6.0,7.0,PERSONAL VISI TO CHENNAI,NONE,NO,EL,5,310.0,330.0,81,1
AC06496,6.0,7.0,MOTHER HOSPITALISED,NONE,NO,EL,3,187.0,156.0,81,1
AC06496,3.0,8.0,QUARANTINE,NONE,NO,EL,9,304.0,326.0,81,1
AC06496,4.0,9.0,PERSONAL,NONE,NO,EL,2,313.0,306.0,81,1
AC06496,4.0,12.0,UNWELL,NONE,NO,CMC,5,313.0,296.0,81,1
AC06496,2.0,12.0,LTC TO HT (NER),NONE,NO,EL,1,309.0,286.0,81,1
AC06496,2.0,12.0,LTC TO HT (NER),NONE,NO,SCL,1,309.0,286.0,81,1
AC06496,5.0,1.0,PERSONAL WORK,NONE,NO,EL,2,221.0,196.0,81,1
AC06496,5.0,2.0,MY DAUGTHER 12TH BOARD EXAM,NONE,NO,CCL,15,197.0,176.0,81,1
AC06496,2.0,10.0,VISIT TO CHENNAI TO SEE MOTHER,NONE,NO,EL,2,252.0,226.0,81,1
AC06496,4.0,6.0,UNWELL,NONE,NO,EL,2,313.0,276.0,81,1
AC06496,4.0,3.0,SONS 10TH EXAMS,NONE,NO,CCL,15,221.0,196.0,81,1
AC06496,7.0,3.0,CHILD CARE,NONE,NO,CCL,15,154.0,136.0,81,1
AC06496,4.0,11.0,PERSONAL,NONE,NO,EL,2,313.0,336.0,81,1
AC06496,4.0,10.0,MOTHER HOSPITALISED,NONE,NO,EL,5,310.0,286.0,81,1
AC06496,6.0,4.0,SONS EXAMS (XI),NONE,NO,CCL,15,241.0,216.0,81,1
AC06496,4.0,4.0,NOT WELL,NONE,NO,CMC,8,315.0,330.0,81,1
AC06496,6.0,2.0,GOING TO CHENNAI,NONE,NO,EL,1,312.0,336.0,81,1
AC06496,5.0,1.0,PERSONAL,NONE,NO,EL,5,197.0,176.0,81,1
AC06496,4.0,5.0,TOSHIFT CHILDREN TO BANGALORE,NONE,NO,EL,5,149.0,136.0,81,1
AC06496,3.0,10.0,LTC TO API,NONE,NO,EL,9,149.0,126.0,81,1
AC06496,3.0,10.0,LTC TO API,NONE,NO,LE,10,139.0,126.0,81,1
AC06496,5.0,4.0,CHILDREN'S FINAL EXAM,NONE,NO,CCL,15,190.0,156.0,81,1
AC06496,6.0,7.0,RELIGIOUS TRIP TO ALUVA,NONE,NO,EL,2,254.0,226.0,81,1
AC06496,6.0,7.0,PERSONAL,NONE,NO,EL,2,210.0,186.0,81,1
AC06496,2.0,12.0,MOTHER HOSPITALISED,NONE,NO,EL,12,287.0,286.0,81,1
AC06496,5.0,8.0,MOTHER UNWELL,NONE,NO,EL,5,197.0,166.0,81,1
AC06496,3.0,8.0,PERSONAL,NONE,NO,EL,2,313.0,326.0,81,1
AC06728,5.0,4.0,LTC TO ANDAMAN,NONE,NO,LE,10,247.0,189.0,4,1
AC06728,2.0,3.0,LTC TO ANDAMAN,NONE,NO,EL,11,247.0,189.0,4,1
AC06728,5.0,5.0,NOT WELL,NONE,NO,CMC,26,275.0,147.0,4,1
AC06728,5.0,7.0,MOTHER'S MEDICAL TREATMENT,NONE,NO,EL,5,268.0,199.0,4,1
AC06857,2.0,12.0,PERSONAL WORK,NONE,NO,EL,4,304.0,437.0,16,1
AC06857,4.0,2.0,PERSONAL WORK,NONE,NO,EL,4,311.0,467.0,16,1
AC06857,3.0,3.0,PERSONAL WORK,NONE,NO,EL,3,308.0,467.0,16,1
AC06857,5.0,4.0,PERSONAL WORK,NONE,NO,EL,11,297.0,467.0,16,1
AC06857,3.0,3.0,LTC - CHENNAI,NONE,NO,EL,3,307.0,447.0,16,1
AC06857,5.0,5.0,VISIT NATIVE PLACE,NONE,NO,EL,5,305.0,427.0,16,1
AC06857,6.0,6.0,PERSONAL WORK,NONE,NO,EL,4,293.0,467.0,16,1
AC06857,2.0,4.0,NOT WELL,NONE,NO,EL,4,310.0,427.0,16,1
AC06857,5.0,12.0,PERSONAL WORK,NONE,NO,EL,3,309.0,457.0,16,1
AC06857,6.0,11.0,PERSONAL WORK,NONE,NO,EL,5,304.0,457.0,16,1
AC06857,3.0,1.0,PERSONAL WORK,NONE,NO,EL,5,310.0,447.0,16,1
AC06857,4.0,8.0,FOR CHEKUP,NONE,NO,EL,4,311.0,417.0,16,1
AC06857,6.0,9.0,VISITING NATIVE PLACE,NONE,NO,EL,10,301.0,417.0,16,1
AC06857,4.0,10.0,VISIT TO NATIVE PLACE,NONE,NO,EL,2,299.0,417.0,16,1
AC06857,2.0,5.0,VISITING NATIVE PLACE,NONE,NO,EL,12,293.0,427.0,16,1
AC06987,3.0,7.0,NOT WELL,NONE,NO,CMC,2,311.0,466.0,22,1
AC06987,6.0,12.0,Pilgrimage,NONE,NO,EL,4,302.0,496.0,22,1
AC06987,3.0,5.0,PERSONAL WORK,NONE,NO,EL,12,303.0,450.0,22,1
AC06987,7.0,3.0,VIRAL FEVER,NONE,NO,EL,4,304.0,486.0,22,1
AC06987,6.0,10.0,LTC TO HT,NONE,NO,EL,12,301.0,420.0,22,1
AC06987,4.0,9.0,SICKNESS,NONE,NO,EL,7,296.0,460.0,22,1
AC06987,4.0,9.0,SICKNESS,NONE,NO,EL,12,303.0,460.0,22,1
AC06987,2.0,12.0,Not Well,NONE,NO,EL,4,306.0,496.0,22,1
AC06987,6.0,5.0,UPNAYANAM OF SON,NONE,NO,EL,9,298.0,410.0,22,1
AC06987,2.0,10.0,SICK AND OLD PARENTS CARE,NONE,NO,EL,5,310.0,496.0,22,1
AC06987,7.0,1.0,VISITING PARENTS,NONE,NO,EL,5,310.0,440.0,22,1
AC06987,6.0,9.0,ltc to api,NONE,NO,EL,12,303.0,476.0,22,1
AC06990,3.0,8.0,PERSONAL VISIT TO CHENNAI,NONE,NO,EL,1,314.0,608.0,12,1
AC06990,3.0,8.0,ltc to api,NONE,NO,SCL,1,0.0,628.0,12,0
AC06990,3.0,8.0,ltc to api,NONE,NO,CL,1,315.0,628.0,12,1
AC07077,5.0,6.0,SHFITING OF PERSONAL ITEMS,NONE,NO,EL,5,300.0,432.0,37,1
AC07077,3.0,1.0,VISIT TO NATIVE,NONE,NO,EL,30,315.0,458.0,37,0
AC07077,3.0,3.0,LTC TO API,NONE,NO,CL,2,307.0,483.0,37,1
AC07077,2.0,7.0,"FLAT RELATED WORK AT AH,BAD",NONE,NO,EL,8,307.0,452.0,37,1
AC07077,4.0,1.0,PERSONAL GROUNDS,NONE,NO,EL,4,301.0,442.0,37,1
AC07077,3.0,8.0,PHD AT IIT KHARAGPUR,NONE,NO,STU,364,315.0,478.0,37,1
AC07077,6.0,7.0,LTC TO API,NONE,NO,EL,2,315.0,498.0,37,0
AC07077,3.0,11.0,MEDICAL,NONE,NO,CMC,2,315.0,458.0,37,1
AC07077,5.0,12.0,PERSONAL GROUNDS,NONE,NO,EL,4,311.0,442.0,37,1
AC07077,5.0,12.0,PERSONAL WORK,NONE,NO,EL,6,305.0,442.0,37,1
AC07077,4.0,9.0,PERSONAL WORK AT AHMEDABAD,NONE,NO,EL,3,312.0,478.0,37,1
AC07077,6.0,4.0,DAUGHTERS  CONVACATION AT USA,NONE,NO,EL,15,300.0,488.0,37,1
AC07077,2.0,12.0,VISIT TO CHENNAI,NONE,NO,EL,2,313.0,498.0,37,1
AC07077,2.0,12.0,LTC TO API,NONE,NO,EL,3,309.0,478.0,37,1
AC07077,7.0,1.0,CORONA INFECTION,NONE,NO,CMC,30,305.0,458.0,37,1
AC07154,3.0,5.0,VIST MOTHER AT HT,NONE,NO,EL,5,174.0,306.0,47,1
AC07154,3.0,5.0,VISIT HOME TOWN,NONE,NO,EL,5,169.0,306.0,47,1
AC07154,6.0,12.0,VISIT MOTHER AT HOME TOWN,NONE,NO,EL,9,150.0,342.0,47,1
AC07154,6.0,12.0,VISIT HOMETOWN,NONE,NO,EL,2,148.0,342.0,47,1
AC07154,6.0,12.0,VISIT HOME TOWN,NONE,NO,EL,4,150.0,342.0,47,0
AC07154,3.0,12.0,VISIT TO HOME TOWN,NONE,NO,EL,10,183.0,382.0,47,1
AC07154,6.0,12.0,VISIT TO HOMETOWN,NONE,NO,EL,2,159.0,342.0,47,1
AC07154,3.0,12.0,VISIT HOME TOWN,NONE,NO,EL,4,179.0,382.0,47,1
AC07154,3.0,12.0,THROAT INFECTION OF COLD,NONE,NO,EL,5,174.0,382.0,47,1
AC07154,3.0,12.0,VISIT HOME TOWN,NONE,NO,EL,5,169.0,382.0,47,1
AC07154,4.0,1.0,HOME QUARANTINE,NONE,NO,CMC,19,178.0,334.0,47,1
AC07154,6.0,12.0,mothers hospitalisaiton,NONE,NO,EL,4,179.0,296.0,47,1
AC07154,6.0,12.0,domestic work,NONE,NO,EL,3,176.0,296.0,47,1
AC07154,7.0,3.0,MEDICAL GROUNDS,NONE,NO,CMC,9,202.0,286.0,47,1
AC07154,5.0,8.0,MEDICAL,NONE,NO,CMC,12,211.0,316.0,47,1
AC07154,6.0,1.0,VISIT HOMETOWN,NONE,NO,EL,15,163.0,362.0,47,1
AC07154,2.0,3.0,ltc to api,NONE,NO,CL,2,202.0,286.0,47,1
AC07154,5.0,12.0,DAUGHTERS WEDDING,NONE,NO,EL,15,187.0,316.0,47,1
AC07154,5.0,12.0,BACK PAIN,NONE,NO,CMC,11,187.0,294.0,47,1
AC07154,3.0,7.0,visit to home town,NONE,NO,EL,12,196.0,330.0,47,1
AC07154,2.0,12.0,VISIT TO HOME TOWN,NONE,NO,EL,4,146.0,332.0,47,1
AC07154,2.0,7.0,VISIT TO HT,NONE,NO,EL,9,160.0,306.0,47,1
AC07154,6.0,9.0,visit home town,NONE,NO,EL,9,202.0,316.0,47,1
AC07154,6.0,3.0,ltc to api,NONE,NO,EL,2,189.0,306.0,47,1
AC07154,6.0,3.0,ltc to api,NONE,NO,SCL,1,189.0,306.0,47,1
AC07154,2.0,7.0,MEDICAL GROUNDS,NONE,NO,CMC,4,160.0,298.0,47,1
AC07154,4.0,2.0,COVID INFECTION,NONE,NO,CMC,12,208.0,330.0,47,1
AC07154,5.0,10.0,SMTR,MEDICAL TREATMENT,NO,CMC,9,200.0,306.0,47,1
AC07154,2.0,9.0,SMTR,MEDICAL TREATMENT,NO,CMC,2,230.0,344.0,47,1
AC07154,3.0,5.0,PWRK,PERSONAL WORK,NO,CL,1,220.0,338.0,47,1
AC07154,5.0,6.0,PWRK,PERSONAL WORK,NO,EL,3,215.0,338.0,47,1
AC07154,3.0,8.0,PWRK,PERSONAL WORK,NO,CL,1,230.0,348.0,47,1
AC07154,5.0,5.0,PWRK,PERSONAL WORK,NO,EL,2,218.0,338.0,47,1
AC07154,5.0,5.0,PWRK,PERSONAL WORK,NO,CL,1,218.0,338.0,47,1
AC07162,3.0,7.0,SICKNESS,NONE,NO,CMC,1,249.0,204.0,266,1
AC07162,4.0,7.0,RELATIVE EXPIRED,NONE,NO,EL,1,243.0,204.0,266,1
AC07162,4.0,6.0,VISIT TO NATIVE,NONE,NO,EL,5,243.0,200.0,266,1
AC07162,4.0,6.0,MARRIAGE AT CHENNAI,NONE,NO,EL,2,248.0,200.0,266,1
AC07162,6.0,6.0,MARRIAGE FUNTION,NONE,NO,EL,3,217.0,238.0,266,1
AC07162,2.0,7.0,sickness,NONE,NO,CMC,14,301.0,200.0,266,1
AC07162,6.0,1.0,MEDICAL CHECK UP,NONE,NO,EL,1,250.0,236.0,266,1
AC07162,5.0,1.0,PERSONAL WORK,NONE,NO,EL,2,238.0,192.0,266,1
AC07162,4.0,12.0,HOUSE WARMING OF HOUSE,NONE,NO,EL,1,258.0,236.0,266,1
AC07162,2.0,2.0,VISIT TO TIRUCHI,NONE,NO,EL,3,262.0,210.0,266,1
AC07162,6.0,7.0,not well,NONE,NO,CMC,1,269.0,280.0,266,1
AC07162,3.0,9.0,PERSONAL WORK,NONE,NO,EL,2,241.0,198.0,266,1
AC07162,6.0,7.0,not well,NONE,NO,CMC,1,269.0,278.0,266,1
AC07162,3.0,9.0,NOT WELL,NONE,NO,CMC,3,243.0,198.0,266,1
AC07162,6.0,7.0,personal work at chennai,NONE,NO,EL,2,267.0,278.0,266,1
AC07162,4.0,2.0,SICKNESS,NONE,NO,CMC,1,234.0,256.0,266,1
AC07162,6.0,10.0,SICKNESS,NONE,NO,CMC,1,257.0,208.0,266,1
AC07162,6.0,10.0,SICKNESS,NONE,NO,CMC,3,257.0,202.0,266,1
AC07162,6.0,10.0,PERSONAL,NONE,NO,EL,1,256.0,202.0,266,1
AC07162,6.0,9.0,DEMISE OF BROTHER IN LAW,NONE,NO,EL,3,268.0,226.0,266,1
AC07162,3.0,10.0,NOT WELL,NONE,NO,CMC,1,270.0,274.0,266,1
AC07162,6.0,9.0,SICKNES,NONE,NO,CMC,1,271.0,226.0,266,1
AC07162,3.0,10.0,VISIT DAUGHTERS INLAWS,NONE,NO,EL,3,267.0,274.0,266,1
AC07162,3.0,12.0,MARRIAGE OF RELATIVE,NONE,NO,EL,1,257.0,236.0,266,1
AC07162,3.0,6.0,PERSONAL,NONE,NO,EL,5,220.0,238.0,266,1
AC07162,3.0,10.0,WIFE NOT WELL,NONE,NO,EL,1,266.0,274.0,266,1
AC07162,3.0,12.0,MEDICAL CHECKUP,NONE,NO,EL,1,256.0,236.0,266,1
AC07162,4.0,1.0,MEDICAL CHECKUP,NONE,NO,EL,1,251.0,198.0,266,1
AC07162,3.0,12.0,"HEAVY RAIN,ROAD BLOCKED",NONE,NO,EL,1,255.0,236.0,266,1
AC07162,3.0,12.0,NOT WELL,NONE,NO,EL,1,265.0,274.0,266,1
AC07162,4.0,1.0,PERSONAL WORK,NONE,NO,EL,1,250.0,198.0,266,1
AC07162,3.0,12.0,VISIT COUSIN WIFE AT TRICHY,NONE,NO,EL,2,253.0,236.0,266,1
AC07162,3.0,12.0,PERSONAL WORK,NONE,NO,EL,1,264.0,274.0,266,1
AC07162,3.0,12.0,MEDICAL CHECK UP,NONE,NO,EL,1,263.0,274.0,266,1
AC07162,3.0,12.0,VISIT TO HT IN TN,NONE,NO,EL,5,258.0,274.0,266,1
AC07162,7.0,1.0,NOT WELL,NONE,NO,CMC,4,274.0,264.0,266,1
AC07162,5.0,1.0,MARRIAGE FUNTION AT MADURAI,NONE,NO,EL,4,256.0,246.0,266,1
AC07162,7.0,1.0,NOT WELL,NONE,NO,CMC,1,274.0,272.0,266,1
AC07162,5.0,1.0,PTM AT COLLEGE,NONE,NO,EL,1,255.0,246.0,266,1
AC07162,5.0,1.0,TO TAKE FIL TO HOSPITAL,NONE,NO,EL,1,254.0,246.0,266,1
AC07162,4.0,3.0,SICKNESS,NONE,NO,CMC,1,268.0,234.0,266,1
AC07162,5.0,1.0,NOT WELL,NONE,NO,EL,1,253.0,246.0,266,1
AC07162,2.0,12.0,Not well,NONE,NO,CMC,1,288.0,210.0,266,1
AC07162,5.0,1.0,DAUGHTERS ENGAGEMENT,NONE,NO,EL,3,250.0,246.0,266,1
AC07162,6.0,6.0,DOMESTIC PURPOSE,NONE,NO,EL,1,300.0,202.0,266,1
AC07162,5.0,1.0,DAUGHTERS MARRIAGE,NONE,NO,EL,10,255.0,256.0,266,1
AC07162,5.0,6.0,visit to chennai,NONE,NO,EL,3,301.0,202.0,266,1
AC07162,5.0,1.0,NOT WELL,NONE,NO,EL,1,254.0,256.0,266,1
